player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
JaKarr Sampson,sampsja02,2020,RS,IND,1017,471,-1.715712599241706,1.75191958553057,.0362069862888632,-.4073574708047927,1.549802822081748,1.142445351276955,-1.524199601589339,1.770510942788828,.2463113411994897,.7193701165988795,.7193701165988795,0,-2.134138626756407,1.519447000820448,-.6146916259359589,-.0930365976654732
Dario Saric,saricda01,2020,RS,PHO,3488,1632,-.3223261684207501,.2265522495466143,-.0957739188741358,-.2584130887438128,-3.353377568941431,-3.611790657685244,-.3484472708594745,-.503311102043003,-.8517583729024775,1.583416367968055,1.583416367968055,0,-.6572857966419325,-.0260132149575723,-.6832990115995048,.184258678907415
Tomas Satoransky,satorto01,2020,RS,CHI,3945,1878,-.5219899233972805,.3170854073868001,-.2049045160104804,2.11337300118789,-.7216772380429312,1.391695763144958,.0524797766331512,.1364425350111381,.1889223116442893,2.811885008946352,2.811885008946352,0,-.1556953654718973,.3837144656483782,.228019100176481,-.147207629041314
Admiral Schofield,schofad01,2020,RS,WAS,791,368,-1.804059089697876,-3.92005239966125,-5.724111489359126,-2.210027940414128,-.8799931092973696,-3.090021049711497,-1.996430995928344,-3.440502385249168,-5.436933381177512,-.5019135567984446,-.5019135567984446,0,-1.924901212607102,-4.007554366041491,-5.932455578648593,-.5197196245185662
Dennis Schroder,schrode01,2020,PO,OKC,478,227,-1.626170872870511,1.923028575763428,.2968577028929174,10.73920516046437,10.05774670992905,20.79695187039341,.9482319202815879,3.696629068961496,4.644860989243083,.8813260462434986,0,.8813260462434986,-.6801651518273961,2.198750621676394,1.518585469848998,-.2216325062584063
Dennis Schroder,schrode01,2020,RS,OKC,4226,1999,.4498383547719356,-.3599750930337704,.0898632617381652,-3.594728288087522,8.274268842393351,4.679540554305829,-.3635518770527554,1.37378166077437,1.010229783721615,3.857148633700179,3.857148633700179,0,-.6500474548214989,1.097736301250407,.4476888464289079,.5891557610009658
Mike Scott,scottmi01,2020,PO,PHI,43,20,.0513647915698201,-.4417900858431585,-.3904252942733384,-16.54694643395758,21.38581333475072,4.838866900793136,-3.419423822391269,4.12580432669935,.7063805043080809,.0362845855889734,0,.0362845855889734,-1.333857405994448,.0397885522577038,-1.294068853736745,-.2467568222427744
Mike Scott,scottmi01,2020,RS,PHI,2561,1207,.2884391483780215,-2.247434725757496,-1.958995577379475,2.852324459144098,1.376538732530873,4.228863191674971,.8333033483457026,-1.653284272748641,-.8199809244029386,1.181885243972048,1.181885243972048,0,1.040177328358979,-2.066943108903711,-1.026765780544731,-.570644672439976
Thabo Sefolosha,sefolth01,2020,RS,HOU,968,436,-2.890408414292013,1.565049088945166,-1.325359325346847,.984778966777359,.449048622214492,1.433827588991851,-2.334595782568217,1.410831775200041,-.9237640073681763,.4068069210522128,.4068069210522128,0,-2.398143821574786,1.051055505710776,-1.347088315864011,.1422169743279864
Collin Sexton,sextoco01,2020,RS,CLE,4481,2143,.9092573632707357,-3.67820671826829,-2.768949354997554,2.471945804705982,-7.509419660024227,-5.037473855318245,1.3383464398769,-4.646789027880217,-3.308442588003317,-.6120204150598495,-.6120204150598495,0,1.337006676486139,-4.378025442298789,-3.04101876581265,.2412072892592773
Landry Shamet,shamela01,2020,PO,LAC,514,243,-3.392557624604348,-.9362214602105582,-4.328779084814906,-5.701410461260531,3.35331596427851,-2.348094496982021,-4.05492423162375,-.1775218508861121,-4.232446082509862,-.1911458229705503,0,-.1911458229705503,-6.139398533796939,.1037502397104025,-6.035648294086537,.8334405390915697
Landry Shamet,shamela01,2020,RS,LAC,3119,1452,-.3258380601109634,-1.474038705879646,-1.79987676599061,.5902304361591419,-2.41947093757598,-1.829240501416838,-.1962641953851038,-1.812902153651449,-2.009166349036553,.5482509045328162,.5482509045328162,0,-.6362091730952621,-.8527056150165014,-1.488914788111764,-.1053694540624816
Marial Shayok,shayoma01,2020,RS,PHI,65,28,-3.370218437005411,-1.804377618701873,-5.174596055707284,-6.260296645975394,-6.055579638787404,-12.3158762847628,-4.240979207944021,-2.872756758131367,-7.113735966075388,-.0638917033813037,-.0638917033813037,0,-.2788987956417586,-3.454104082872726,-3.733002878514485,2.543843489286782
Iman Shumpert,shumpim01,2020,RS,BRK,501,241,-4.135756226815997,1.516703663986227,-2.619052562829769,-4.328289855164649,-.7024810873692751,-5.030770942533924,-4.438017874256074,1.132195917009133,-3.305821957246941,-.0683357063574002,-.0683357063574002,0,-3.557744940001522,.5308418920775357,-3.026903047923986,-.0106985585363257
Pascal Siakam,siakapa01,2020,PO,TOR,852,418,-2.517779157128725,-.6598713625113857,-3.17765051964011,-3.985693722123592,6.406228886944869,2.420535164821277,-2.98058281466906,.6914306962269,-2.28915211844216,.1000238719928861,0,.1000238719928861,-1.028991031316324,.8889756558870939,-.1400153754292305,-1.313461745210708
Pascal Siakam,siakapa01,2020,RS,TOR,4481,2110,-.3086650054665223,.2473472163905661,-.0613177890759562,2.684896143799687,4.400319362768144,7.085215506567831,.270256655443038,1.054929756439625,1.325186411882663,4.395211851702563,4.395211851702563,0,.9335689055757745,1.062466450146634,1.996035355722408,.1904757851220851
Chris Silva,silvach01,2020,RS,MIA,743,346,-.71420088323532,-2.822439010852212,-3.536639894087532,-2.087156438451808,-3.412915551094504,-5.500071989546312,-1.086826305782975,-3.185645015516703,-4.272471321299678,-.2715229381736672,-.2715229381736672,0,-1.017795063518902,-2.336451000740915,-3.354246064259818,1.049415315679842
Ben Simmons,simmobe01,2020,RS,PHI,4248,2017,.3649850149455462,2.554869296257641,2.919854311203188,-1.973265911486034,1.361711016005135,-.6115548954808987,-.1149350986836705,2.435929686515027,2.320994587831356,5.271778757856644,5.271778757856644,0,.8763509922859865,3.427445681617551,4.303796673903538,1.043911043513775
Anfernee Simons,simonan01,2020,PO,POR,180,82,2.008111726679176,2.026069599240124,4.034181325919301,14.394669806301,-.0952509787847095,14.29941882751629,4.751376734478329,1.716559592543786,6.467936327022115,.4024113376124837,0,.4024113376124837,3.920288813968832,.8952470064895932,4.815535820458425,1.166805754890269
Anfernee Simons,simonan01,2020,RS,POR,3112,1449,-1.793681740366284,-3.508578998952272,-5.302260739318555,-5.370305259618264,-1.958174204368775,-7.328479463987039,-2.684111914637158,-3.345425553461476,-6.029537468098634,-2.411959082037008,-2.411959082037008,0,-2.331549282475326,-2.980311152488183,-5.311860434963509,-.5279657419989725
